Manuscript,Taxa,Species,Abbreviation_Spec
Acuna_Marrero_2017,Chondrichthyes,Galeocerdo cuvier,AC + SA + BRUV
Adachi_2021,Phocidae,Mirounga angustirostris,DD + SA + AB
Adachi_2022,Phocidae,Mirounga angustirostris,DD + SA + AB
Agabiti_2026,Reptilia,Caretta caretta,DD + AB
Akaarir_2024,Teleostei,Xyrichtys novacula,AC + SC
Akiyama_2019,Cetacea,Megaptera novaeangliae,DD + AB
Allen_2024,Cetacea,Balaenoptera bonaerensis,DD + AB
Alos_2016,Teleostei,Xyrichtys novacula,AC + SB
Anderson_2022,Chondrichthyes,Carcharodon carcharias,AC + DR
Andrews_2020,Chondrostei,Acipenser brevirostrum,AC + TOC
Andrzejaczek_2019,Chondrichthyes,Galeocerdo cuvier,DD + AB
Angelakis_2024,Phocidae,Neophoca cinerea,DD + AB
Aoki_2013,Cetacea,Globicephala melas,DD + AB
Aoki_2015,Cetacea,Physeter macrocephalus,DD + AB
Aoki_2021,Cetacea,Megaptera novaeangliae,DD + DR
Armstrong_1991,Teleostei,Coryphaenoides yaquinae,AC + ACA
Arnekleiv_2007,Teleostei,Salmo trutta,R + SV
Asada_2021,Reptilia,Dermochelys coriacea,DD + SA + AB
Asada_2022,Reptilia,Dermochelys coriacea,DD + SA + AB
Bacheler_2018,Teleostei,Balistes capriscus,AC + SV
Bagley_1996,Teleostei,Coryphaenoides (Nematonurus) armatus,AC + ACA
Baker_2019,Teleostei,Lutjanus goldiei,AC + SV
Baker_2019,Teleostei,Lutjanus fuscescens,AC + SV
Baker_2019,Teleostei,Lutjanus argentimaculatus,AC + SV
Bao_2019,Teleostei,Schizothorax prenanti,PIT + SV
Bao_2019,Teleostei,Silurus meridionalis,PIT + SV
Bao_2019,Teleostei,Pseudogyrincheilus prochilus,PIT + SV
Bao_2019,Teleostei,Leiocassis marginatus,PIT + SV
Bao_2019,Teleostei,Pelteobagrus variegatus,PIT + SV
Barnett_2022,Chondrichthyes,Carcharodon carcharias,AC + SA + BRUV
Barnett_2022,Chondrichthyes,Galeocerdo cuvier,AC + SA + BRUV
Barnett_2022,Chondrichthyes,Carcharhinus brevipinna,AC + SA + BRUV
Barnett_2022,Chondrichthyes,Carcharhinus coatesi,AC + SA + BRUV
Barnett_2022,Chondrichthyes,Carcharhinus limbatus,AC + SA + BRUV
Barnett_2022,Chondrichthyes,Carcharhinus sorrah,AC + SA + BRUV
Barnett_2022,Chondrichthyes,Carcharhinus sp.,AC + SA + BRUV
Barnett_2022,Chondrichthyes,Nebrius ferrugineus,AC + SA + BRUV
Barnett_2022,Chondrichthyes,Hemipristis elongata,AC + SA + BRUV
Barnett_2022,Chondrichthyes,Chiloscyllium punctatum,AC + SA + BRUV
Barnett_2022,Chondrichthyes,Sphyrna lewini,AC + SA + BRUV
Barnett_2022,Chondrichthyes,Sphyrna mokarran,AC + SA + BRUV
Barnett_2022,Chondrichthyes,Carcharhinus leucas,AC + SA + BRUV
Barocas_2016,Mustelidae,Lontra canadensis,DD + SC
Bartes_2025,Phocidae,Arctocephalus pusillus doriferus,DD + AB
Baumgartner_2017,Cetacea,Eubalaena glacialis,AC + R + SV
Beltramino_2018,Teleostei,Acanthistius patachonicus,DD + SV
Bett_2022,Teleostei,Oncorhynchus nerka,AC + PIT + R + SV
Boase_2014,Chondrostei,Acipenser fulvescens,PIT + TOV
Bohaboy_2020,Teleostei,Lutjanus campechanus,AC + ROV
Bohaboy_2020,Teleostei,Balistes capriscus,AC + ROV
Bolland_2019,Teleostei,Anguilla anguilla,AC + PIT + ACOA
Boltunov_2021,Phocidae,Odobenus rosmarus rosmarus,SA + DR
Boness_2006,Phocidae,Phoca vitulina,R + DD + AB
Bornhold_2005,Phocidae,Odobenus rosmarus,SA + SV
Boulatreau_2018,Teleostei,Salmo salar,PIT + SC
Boulatreau_2018,Teleostei,Silurus glanis,PIT + SC
Bousmar_2018,Teleostei,Salmo salar,PIT + SV
Bousmar_2018,Teleostei,Alburnus alburnus,PIT + SV
Bousmar_2018,Teleostei,Squalius cephalus,PIT + SV
Bousmar_2018,Teleostei,Cottus gobio,PIT + SV
Bowes_2021,Teleostei,Rutilus rutilus,PIT + SV
Bravener_2013,Petromyzontida,Petromyzon marinus,PIT + SV
Bullock_2024,Chondrichthyes,Negaprion brevirostris,AC + PIT + BRUV
Bunt_2012,Teleostei,Schizothorax oconnori,PIT + SV
Bunt_2012,Teleostei,Schizothorax waltoni,PIT + SV
Bunt_2012,Teleostei,Schizothorax macropogon,PIT + SV
Bunt_2012,Teleostei,Schizopygopsis younghusbandi,PIT + SV
Bunt_2012,Teleostei,Ptychobarbus dipogon,PIT + SV
Burke_2022,Teleostei,Salvelinus alpinus,AC + SC
Butler_2014,Teleostei,Maccullochella ikei,R + TOC
Butler_2022,Teleostei,Maccullochella peelii,R + SV + TOC
Bzonek_2025,Teleostei,Cyprinus carpio ,AC + SV
Cade_2018,Cetacea,Megaptera novaeangliae,DD + AB
Cade_2018,Cetacea,Balaenoptera physalus,DD + AB
Cade_2018,Cetacea,Balaenoptera musculus,DD + AB
Cade_2018,Cetacea,Grampus griseus,DD + AB
Calambokidis_2007,Cetacea,Balaenoptera musculus,DD + AB
Carpenter_2020,Teleostei,Maccullochella ikei,AC + PIT + SV
Carpenter_2020,Teleostei,Tandanus tandanus,AC + PIT + SV
Carpenter_2020,Teleostei,Percalates novemaculeata,AC + PIT + SV
Carver_2025,Teleostei,Lutjanus campechanus,AC + BRUV + TOV
Carver_2025,Teleostei,Lutjanus griseus,AC + BRUV + TOV
Carver_2025,Teleostei,Ariopsis felis,AC + BRUV + TOV
Carver_2025,Teleostei,Balistes capriscus,AC + BRUV + TOV
Carver_2025,Teleostei,Caranx crysos,AC + BRUV + TOV
Carver_2025,Teleostei,Caranx hippos,AC + BRUV + TOV
Carver_2025,Teleostei,Chloroscombrus chrysurus,AC + BRUV + TOV
Carver_2025,Teleostei,Elegatis bipinnulata,AC + BRUV + TOV
Carver_2025,Teleostei,Selene setapinnis,AC + BRUV + TOV
Carver_2025,Chondrichthyes,Carcharhinus limbatus,AC + BRUV + TOV
Carver_2025,Chondrichthyes,Carcharhinus sp.,AC + BRUV + TOV
Carver_2025,Chondrichthyes,Carcharhinidae sp.,AC + BRUV + TOV
Carver_2025,Cetacea,Tursiops truncatus,AC + BRUV + TOV
Carver_2025,Teleostei,Echineis neucratoides,AC + BRUV + TOV
Carver_2025,Teleostei,Chaetodipterus faber,AC + BRUV + TOV
Carver_2025,Chondrichthyes,Rhinoptera bonasus,AC + BRUV + TOV
Carver_2025,Teleostei,Rachycentron canadum,AC + BRUV + TOV
Carver_2025,Teleostei,Scianops ocellatus,AC + BRUV + TOV
Carver_2025,Teleostei,Scomberomorus maculatus,AC + BRUV + TOV
Carver_2025,Teleostei,Archosargus probatocephalus,AC + BRUV + TOV
Carver_2025,Teleostei,Peprilus paru,AC + BRUV + TOV
Casey_2022,Cetacea,Balaenoptera bonaerensis,DD + AB
Chapple_2021,Chondrichthyes,Carcharhinus amblyrhynchos,DD + SA + DOV
Chapple_2021,Chondrichthyes,Carcharodon carcharias,DD + SA + DOV
Chapple_2024,Chondrichthyes,Cetorhinus maximus,DD + AB
Chiriboga_Paredes_2022,Chondrichthyes,Sphyrna lewini,AC + BRUV
Christianen_2019,Reptilia,Chelonia mydas,SA + SV
Cimino_2018,Teleostei,Lutjanus fulvus,AC + SC
Coleman_2011,Teleostei,Mycteroperca microlepis,AC + ROV
Coleman_2011,Teleostei,Epinephelus morio,AC + ROV
Coleman_2011,Teleostei,Lutjanus campechanus,AC + ROV
Coleman_2011,Teleostei,Mycteroperca phenax,AC + ROV
Collins_1998,Teleostei,Coryphaenoides (Nematonurus) armatus,AC + ACA
Collins_1999,Teleostei,Coryphaenoides (Nematonurus) armatus,AC + AV
Collins_1999,Teleostei,Antimora rostrata,AC + AV
Cooke_2001,Teleostei,Micropterus salmoides,R + SV
Cooke_2006,Teleostei,Ambloplites rupestris,R + SC
Cooke_2006,Teleostei,Lepomis gibbosus,R + SC
Cooke_2006,Teleostei,Pomoxis nigromaculatus,R + SC
Cooke_2006,Teleostei,Lepomis macrochirus,R + SC
Cooke_2006,Teleostei,Micropterus dolomieu,R + SC
Cooke_2006,Teleostei,Micropterus salmoides,R + SC
Coughlin_2025,Teleostei,Lepomis macrochirus,AC + SV
Crook_2023,Teleostei,Hephaestus fuliginosu,AC + SC
Crook_2023,Teleostei,"Scleropages jardinii,",AC + SC
Crook_2023,Teleostei,Syncomistes butleri,AC + SC
Crook_2023,Teleostei,Leiopotherapon unicolor,AC + SC
Crook_2023,Teleostei,Amniataba percoides,AC + SC
Crook_2023,Teleostei,Neosilurus ater,AC + SC
Danylchuk_2011,Teleostei,Albula vulpes,AC + SC
Davis_2003,Phocidae,Leptonychotes weddellii,DD + AB
Díaz_2024,Reptilia,Chelonia mydas,DD + AB
Dietz_2007,Cetacea,Monodon monoceros,DD + SA + AB
Dodge_2018,Reptilia,Dermochelys coriacea,DD + AB + AV
Dujon_2019,Gastropoda,Lobatus gigas,DD + SV
Dwyer_2020,Chondrichthyes,Triaenodon obesus,AC + BRUV
Dwyer_2020,Chondrichthyes,Carcharhinus melanopterus,AC + BRUV
Dwyer_2020,Chondrichthyes,Carcharhinus amblyrhynchos,AC + BRUV
Dwyer_2020,Chondrichthyes,Carcharhinus perezi,AC + BRUV
Dwyer_2020,Chondrichthyes,Ginglymostoma cirratum,AC + BRUV
Erkinaro_2018,Teleostei,Salmo salar,PIT + SV
Eskesen_2009,Cetacea,Phocoena phocoena,SA + SV
Fannjiang_2019,Scyphozoa,Chrysaora fuscescens,DD + ROV
Ferguson_2016,Teleostei,Girella tricuspidata,AC + DOV + SV
Ferguson_2016,Teleostei,Girella elevata,AC + DOV + SV
Ferguson_2016,Teleostei,Kyphosus sydneyanus,AC + DOV + SV
Ferretti_2024,Chondrichthyes,Carcharodon carcharias,DD + SA + BRUV
Ferretti_2024,Teleostei,Sardina pilchardus,DD + SA + BRUV
Ferretti_2024,Teleostei,Liza aurata,DD + SA + BRUV
Ferretti_2024,Teleostei,Merluccius merluccius,DD + SA + BRUV
Ferretti_2024,Teleostei,Lepidopus caudatus,DD + SA + BRUV
Ferretti_2024,Teleostei,Helicolenus dactylopterus,DD + SA + BRUV
Ferretti_2024,Teleostei,Maurolicus muelleri,DD + SA + BRUV
Ferretti_2024,Teleostei,Engraulis encrasicolus,DD + SA + BRUV
Ferretti_2024,Teleostei,Centracanthus cirrus,DD + SA + BRUV
Ferretti_2024,Teleostei,Trichiurus lepturus,DD + SA + BRUV
Ferretti_2024,Teleostei,Macroramphosus scolpax,DD + SA + BRUV
Ferretti_2024,Teleostei,Conger conger,DD + SA + BRUV
Ferretti_2024,Teleostei,Trachurus mediterraneus,DD + SA + BRUV
Ferretti_2024,Chondrichthyes,Etmopterus spinax,DD + SA + BRUV
Ferretti_2024,Teleostei,Merluccius merluccius,DD + SA + BRUV
Ferretti_2024,Teleostei,Trichiurus lepturus,DD + SA + BRUV
Ferretti_2024,Teleostei,Lepidopus caudatus,DD + SA + BRUV
Ferretti_2024,Teleostei,Sudis hyalina,DD + SA + BRUV
Ferretti_2024,Chondrichthyes,Centrophorus uyato,DD + SA + BRUV
Ferretti_2024,Chondrichthyes,Dipturus oxyrinchus,DD + SA + BRUV
Ferretti_2024,Teleostei,Mugil cephalus,DD + SA + BRUV
Ferretti_2024,Chondrichthyes,Sycliorhinus stellaris,DD + SA + BRUV
Ferretti_2024,Teleostei,Spicara flexuosa,DD + SA + BRUV
Ferretti_2024,Teleostei,Conger conger,DD + SA + BRUV
Ferretti_2024,Chondrichthyes,Squalus blainvillei,DD + SA + BRUV
Ferretti_2024,Teleostei,Serranus hepatus,DD + SA + BRUV
Ferretti_2024,Teleostei,Mugil cephalus,DD + SA + BRUV
Fetterplace_2016,Teleostei,Platycephalus caeruleopunctatus,AC + BRUV
Fontes_2022,Chondrichthyes,Mobula alfredi,SA + AB
Fontes_2022,Chondrichthyes,Mobula tarapacana,SA + AB
Fontes_2022,Chondrichthyes,Galeocerdo cuvier,SA + AB
Fontes_2022,Chondrichthyes,Prionace glauca,SA + AB
Fontes_2022,Chondrichthyes,Rhincodon typus,SA + AB
Foo_2016,Phocidae,Arctocephalus pusillus,DD + AB
Fore_2011,Teleostei,Salmo salar,AC + SV
Francke_2013,Reptilia,Chelonia mydas,DD + PIT + DOV
Fuchs_2019,Teleostei,Oncorhynchus mykiss,PIT + R + SV
Garner_2022,Teleostei,Lutjanus campechanus,AC + DOV + ROV + TOC
Gebruk_2020,Phocidae,Odobenus rosmarus,SA + ROV
Gilly_2012,Cephalopoda,Dosidicus gigas,DD + AB
Gomi_2021,Teleostei,Scarus ovifrons,AC + SC
Gonzalvo_2015,Teleostei,Lates japonicus,AC + DD + AB
Gooden_2024,Chondrichthyes,Carcharodon carcharias,DD + AB
Grainger_2022,Chondrichthyes,Carcharodon carcharias,DD + AB
Gunner_2021,Reptilia,Caretta caretta,DD + PIT + AB
Hampton_2025,Chondrichthyes,Aetobatus narinari,DD + AB
Hanson_2007,Teleostei,Micropterus salmoides,AC + SC
Hart_2013,Reptilia,Chelonia mydas,PIT + SA + TOV
Hart_2016,Reptilia,Caretta caretta,SA + TOC
Hawkes_2020,Chondrichthyes,Cetorhinus maximus,AC + ACA
Heithaus_2002,Chondrichthyes,Galeocerdo cuvier,AC + DD + AB
Holsman_2006,Decapoda,Cancer magister,AC + SC
Hooker_2015,Phocidae,Arctocephalus gazella,DD + AB
Hooker_2021,Phocidae,Arctocephalus gazella,DD + AB
Hooker_2021,Phocidae,Arctocephalus tropicalis,DD + AB
Hooker_2021,Phocidae,Arctocephalus pusillus doriferus,DD + AB
Hooker_2021,Phocidae,Callorhinus ursinus,DD + AB
Hooker_2021,Phocidae,Phocarctos hookeri,DD + AB
Hooker_2021,Phocidae,Eumetopias jubatus ,DD + AB
Hooker_2021,Phocidae,Neophoca cinerea,DD + AB
Horning_2009,Phocidae,Eumetopias jubatus,DD + SA + ROV
Hounslow_2023,Reptilia,Natator depressus,DD + SA + AB
Hounslow_2025,Reptilia,Natator depressus,DD + AB
Iaia_2025,Teleostei,Salmo marmoratus,PIT + SV
Iaia_2025,Teleostei,Salmo trutta,PIT + SV
Iaia_2025,Teleostei,Salmo ghigii,PIT + SV
Iaia_2025,Teleostei,Telestes muticellus,PIT + SV
Iaia_2025,Teleostei,Cottus gobio,PIT + SV
Iaia_2025,Teleostei,Barbus sp.,PIT + SV
